{'text': '[Music]', 'start': 0.0, 'duration': 13.0}
{'text': 'welcome to Paul Chia and another edition', 'start': 10.049, 'duration': 6.131}
{'text': 'of Hammond 8 News where we react to Ken', 'start': 13.0, 'duration': 5.58}
{'text': "Ham reacting things if you're new to the", 'start': 16.18, 'duration': 2.849}
{'text': 'channel', 'start': 18.58, 'duration': 2.07}
{'text': 'take a second to tap on the subscribe', 'start': 19.029, 'duration': 3.421}
{'text': "button so you'll be notified when new", 'start': 20.65, 'duration': 4.199}
{'text': 'science theology and news videos come', 'start': 22.45, 'duration': 2.73}
{'text': 'out', 'start': 24.849, 'duration': 1.921}
{'text': 'alright international code of', 'start': 25.18, 'duration': 4.02}
{'text': 'phylogenetic nomenclature or the Philo', 'start': 26.77, 'duration': 3.899}
{'text': 'code wait a minute are they gonna try to', 'start': 29.2, 'duration': 3.72}
{'text': "answer the phylogeny challenge and don't", 'start': 30.669, 'duration': 4.051}
{'text': 'get your hopes up barn the closest', 'start': 32.92, 'duration': 3.54}
{'text': "they've come is hiring someone new who", 'start': 34.72, 'duration': 4.14}
{'text': 'can actually pronounce phylogeny no well', 'start': 36.46, 'duration': 3.93}
{'text': "that's good because up to now they've", 'start': 38.86, 'duration': 3.36}
{'text': 'been calling it Barrowman ology which', 'start': 40.39, 'duration': 3.18}
{'text': 'was an attempt to answer the phylogeny', 'start': 42.22, 'duration': 3.39}
{'text': 'challenge without calling it that they', 'start': 43.57, 'duration': 3.48}
{'text': 'want to create this idea of an orchard', 'start': 45.61, 'duration': 3.72}
{'text': 'of these separately created kinds when', 'start': 47.05, 'duration': 4.8}
{'text': 'each of these genus obviously sit within', 'start': 49.33, 'duration': 4.14}
{'text': 'you know the same family of these', 'start': 51.85, 'duration': 3.33}
{'text': 'certain groups and all of these other', 'start': 53.47, 'duration': 3.66}
{'text': 'families fall into two or three', 'start': 55.18, 'duration': 4.02}
{'text': 'different orders as you will and the', 'start': 57.13, 'duration': 5.49}
{'text': 'taxonomic tree still exists exactly as', 'start': 59.2, 'duration': 5.19}
{'text': "it is and it's just that they can't", 'start': 62.62, 'duration': 3.42}
{'text': "account for it well you're obviously the", 'start': 64.39, 'duration': 3.42}
{'text': 'perfect person to talk about this but', 'start': 66.04, 'duration': 3.39}
{'text': "before we move on in case someone's not", 'start': 67.81, 'duration': 3.24}
{'text': 'familiar can you remind us what the', 'start': 69.43, 'duration': 3.57}
{'text': 'phylogeny challenge is the phylogeny', 'start': 71.05, 'duration': 4.76}
{'text': 'challenge in summary is to identify', 'start': 73.0, 'duration': 5.22}
{'text': "created kinds that they're advocating", 'start': 75.81, 'duration': 5.74}
{'text': 'for find two or three different species', 'start': 78.22, 'duration': 5.91}
{'text': 'that scientists would consider closely', 'start': 81.55, 'duration': 5.31}
{'text': 'related but that creationists say are', 'start': 84.13, 'duration': 4.14}
{'text': "actually unrelated that they're", 'start': 86.86, 'duration': 3.869}
{'text': 'specially created and of course nobody', 'start': 88.27, 'duration': 3.9}
{'text': 'can do that because everything that you', 'start': 90.729, 'duration': 3.721}
{'text': 'can find is obviously closely related', 'start': 92.17, 'duration': 4.08}
{'text': "taxonomically and it's not just that", 'start': 94.45, 'duration': 3.75}
{'text': 'what they call evolutionists determined', 'start': 96.25, 'duration': 4.619}
{'text': 'that by their own admission creationists', 'start': 98.2, 'duration': 5.07}
{'text': 'came up with this scheme realizing that', 'start': 100.869, 'duration': 4.051}
{'text': 'these things are actually grouped this', 'start': 103.27, 'duration': 3.81}
{'text': 'way and this type of branching tree', 'start': 104.92, 'duration': 4.35}
{'text': 'pattern that carolus linnaeus identified', 'start': 107.08, 'duration': 5.85}
{'text': 'does not fit with a creationist paradigm', 'start': 109.27, 'duration': 6.15}
{'text': 'now Answers in Genesis lies about that', 'start': 112.93, 'duration': 4.14}
{'text': 'they want you to believe something else', 'start': 115.42, 'duration': 3.629}
{'text': 'but the fact is that carolus linnaeus', 'start': 117.07, 'duration': 4.11}
{'text': 'himself as a creationist could not come', 'start': 119.049, 'duration': 3.75}
{'text': 'up with an answer for this he did not', 'start': 121.18, 'duration': 3.689}
{'text': 'think that speciation was possible he', 'start': 122.799, 'duration': 4.351}
{'text': 'argued that new species could not come', 'start': 124.869, 'duration': 4.741}
{'text': 'about except by special creation so how', 'start': 127.15, 'duration': 4.35}
{'text': 'could this branching tree pattern exist', 'start': 129.61, 'duration': 4.049}
{'text': 'upsets within sets within sets within', 'start': 131.5, 'duration': 4.139}
{'text': 'sets when you go to every parent set', 'start': 133.659, 'duration': 3.72}
{'text': "it's inclusive of more and more sense", 'start': 135.639, 'duration': 3.6}
{'text': "and that's the branching tree pattern", 'start': 137.379, 'duration': 3.211}
{'text': 'that he Illustrated that is', 'start': 139.239, 'duration': 3.541}
{'text': "consistent with evolution but it doesn't", 'start': 140.59, 'duration': 5.07}
{'text': 'fit with creationism at all and nor does', 'start': 142.78, 'duration': 4.65}
{'text': 'it fit with Barrowman ology which is a', 'start': 145.66, 'duration': 3.54}
{'text': 'completely artificial and arbitrary', 'start': 147.43, 'duration': 3.54}
{'text': 'construct trying to conceal that fact', 'start': 149.2, 'duration': 4.289}
{'text': "well let's see how they react with the", 'start': 150.97, 'duration': 4.68}
{'text': 'actual scientists are doing all right', 'start': 153.489, 'duration': 4.021}
{'text': 'international code of phylogenetic', 'start': 155.65, 'duration': 5.22}
{'text': 'nomenclature or the Philo code so with a', 'start': 157.51, 'duration': 7.1}
{'text': '300 can you wake me', 'start': 160.87, 'duration': 3.74}
{'text': "he's not a scientist I'm so glad you", 'start': 165.66, 'duration': 6.639}
{'text': 'pointed that out but it was about all', 'start': 168.76, 'duration': 5.25}
{'text': 'close to 300 years ago when Carl', 'start': 172.299, 'duration': 3.72}
{'text': 'Linnaeus first you know created our', 'start': 174.01, 'duration': 4.02}
{'text': 'taxonomy system that we use today to', 'start': 176.019, 'duration': 4.171}
{'text': 'classify animals according to their', 'start': 178.03, 'duration': 3.929}
{'text': 'different kinds you know by kingdom', 'start': 180.19, 'duration': 3.329}
{'text': 'phylum class order family genus species', 'start': 181.959, 'duration': 3.691}
{'text': "except that there's no such thing as a", 'start': 183.519, 'duration': 4.5}
{'text': "kind that's the phylogeny challenge", 'start': 185.65, 'duration': 4.35}
{'text': "you're supposed to show what a kind is", 'start': 188.019, 'duration': 4.021}
{'text': 'and how we tell one kind from another', 'start': 190.0, 'duration': 4.56}
{'text': "kind and it can't be the way that the", 'start': 192.04, 'duration': 4.259}
{'text': 'certain evangelicals have already said', 'start': 194.56, 'duration': 3.45}
{'text': 'it that even a five-year-old can tell', 'start': 196.299, 'duration': 3.811}
{'text': 'and even a five-year-old can tell that', 'start': 198.01, 'duration': 4.199}
{'text': 'dogs and cats are more closely related', 'start': 200.11, 'duration': 4.26}
{'text': 'and that sheep and goats are more', 'start': 202.209, 'duration': 4.051}
{'text': 'closely related than either group is to', 'start': 204.37, 'duration': 3.81}
{'text': 'each other even a five-year-old can tell', 'start': 206.26, 'duration': 4.44}
{'text': "that so that doesn't work you have to", 'start': 208.18, 'duration': 5.399}
{'text': "come up with an actual determinate I've", 'start': 210.7, 'duration': 4.14}
{'text': 'known about this for some time that', 'start': 213.579, 'duration': 3.121}
{'text': "they've really been upset so to speak", 'start': 214.84, 'duration': 3.479}
{'text': 'about the Linnaeus system of', 'start': 216.7, 'duration': 3.0}
{'text': "classification so that's what we", 'start': 218.319, 'duration': 2.7}
{'text': 'typically use today when she was talking', 'start': 219.7, 'duration': 2.67}
{'text': 'about kingdom phylum class where that', 'start': 221.019, 'duration': 3.511}
{'text': 'was set up in the 1700s by Carl Linnaeus', 'start': 222.37, 'duration': 4.11}
{'text': 'and he was a Christian and he was a', 'start': 224.53, 'duration': 4.41}
{'text': 'creationist and his contemporaries', 'start': 226.48, 'duration': 4.47}
{'text': 'actually would say you know God created', 'start': 228.94, 'duration': 4.29}
{'text': 'Linnaeus organized and so he just says', 'start': 230.95, 'duration': 3.99}
{'text': 'they do fall into groups you know you', 'start': 233.23, 'duration': 3.539}
{'text': 'can any child can pick that out and see', 'start': 234.94, 'duration': 3.9}
{'text': "that and understand that and so that's", 'start': 236.769, 'duration': 3.931}
{'text': 'what he did through his naming but it', 'start': 238.84, 'duration': 3.63}
{'text': "doesn't fit because because some of the", 'start': 240.7, 'duration': 3.81}
{'text': "groupings though don't fit the proposed", 'start': 242.47, 'duration': 4.019}
{'text': 'evolutionary relationship there are no', 'start': 244.51, 'duration': 5.22}
{'text': 'groups that do not fit an evolutionary', 'start': 246.489, 'duration': 5.761}
{'text': 'relationship the construct the carolus', 'start': 249.73, 'duration': 4.319}
{'text': 'linnaeus came up with did not fit a', 'start': 252.25, 'duration': 3.87}
{'text': "creationist concept that's why he was", 'start': 254.049, 'duration': 4.381}
{'text': 'arguing that he could not distinguish', 'start': 256.12, 'duration': 4.859}
{'text': 'man from ape he famously said that you', 'start': 258.43, 'duration': 4.2}
{'text': 'know if I had said that you know man was', 'start': 260.979, 'duration': 3.571}
{'text': 'a poor ape was man and that he would', 'start': 262.63, 'duration': 3.05}
{'text': 'followed out of the ban of all', 'start': 264.55, 'duration': 3.48}
{'text': 'ecclesiastics but david as a scientist', 'start': 265.68, 'duration': 4.63}
{'text': 'he should have said that and in fact he', 'start': 268.03, 'duration': 5.19}
{'text': 'did classify chimpanzees and orangutans', 'start': 270.31, 'duration': 6.54}
{'text': 'as subsets of human homo troglodyte and', 'start': 273.22, 'duration': 4.14}
{'text': 'hamona', 'start': 276.85, 'duration': 3.05}
{'text': 'Turnus respectively carolus linnaeus', 'start': 277.36, 'duration': 5.07}
{'text': "discovered something that didn't fit the", 'start': 279.9, 'duration': 5.8}
{'text': 'creationist perspective this woman it is', 'start': 282.43, 'duration': 5.64}
{'text': "being deliberately deceptive it's not", 'start': 285.7, 'duration': 5.07}
{'text': "that we are upset at any damn thing it's", 'start': 288.07, 'duration': 4.98}
{'text': 'not that we have to change it is that', 'start': 290.77, 'duration': 3.69}
{'text': "they have to change it that's remember", 'start': 293.05, 'duration': 3.36}
{'text': "that's why they invented Barrowman ology", 'start': 294.46, 'duration': 4.23}
{'text': "what we're talking about is that people", 'start': 296.41, 'duration': 4.89}
{'text': 'using their arbitrary methods that were', 'start': 298.69, 'duration': 5.01}
{'text': 'their imperfect perceptions might decide', 'start': 301.3, 'duration': 5.79}
{'text': 'that the Cougar and a cheetah are very', 'start': 303.7, 'duration': 4.53}
{'text': 'different things because we have a', 'start': 307.09, 'duration': 3.27}
{'text': 'tendency especially back in a century or', 'start': 308.23, 'duration': 4.23}
{'text': 'two ago people had a tendency to look at', 'start': 310.36, 'duration': 3.96}
{'text': 'the surface of something rather than the', 'start': 312.46, 'duration': 4.47}
{'text': 'basis or the essence of that thing so', 'start': 314.32, 'duration': 3.69}
{'text': 'they would look at a cheetah and', 'start': 316.93, 'duration': 3.33}
{'text': 'identify that as being distinctly', 'start': 318.01, 'duration': 4.29}
{'text': 'different than a cougar and so they', 'start': 320.26, 'duration': 3.45}
{'text': 'would put them in different genus but', 'start': 322.3, 'duration': 3.27}
{'text': 'then we get the genome back and we', 'start': 323.71, 'duration': 2.88}
{'text': 'discover you know what you put a', 'start': 325.57, 'duration': 2.67}
{'text': 'different genus name on the cheetah than', 'start': 326.59, 'duration': 2.91}
{'text': 'we have on the Cougar but they are in', 'start': 328.24, 'duration': 2.88}
{'text': 'fact genetically practically the same', 'start': 329.5, 'duration': 3.57}
